File Name,Compound,Initial Energy (eV),Relaxed Energy (eV),Initial Energy/Atom (eV/atom),Relaxed Energy/Atom (eV/atom),Energy Reduction/Atom (eV/atom),Abs Energy Reduction
UInSe3_1.cif,InUSe3,-110.56751190259078,-111.35535130492855,-5.528375595129539,-5.567767565246427,0.03939197011688833,0.03939197011688833
EuScS3_1.cif,EuScS3,-151.04161605657987,-151.55380475867756,-7.552080802828994,-7.5776902379338775,0.025609435104883893,0.025609435104883893
YbEuS3_1.cif,EuYbS3,-131.16566834586519,-145.59801853510743,-6.558283417293259,-7.279900926755372,0.7216175094621127,0.7216175094621127
SmLuS3_1.cif,LuSmS3,-127.11468968817327,-127.18099252985594,-6.355734484408663,-6.359049626492797,0.0033151420841335266,0.0033151420841335266
ScUS3_1.cif,ScUS3,-150.908009341985,-151.55429235080737,-7.545400467099251,-7.5777146175403685,0.03231415044111774,0.03231415044111774
DyInS3_1.cif,DyInS3,-100.18286331914783,-101.79410014176368,-5.009143165957392,-5.089705007088184,0.08056184113079201,0.08056184113079201
UInS3_1.cif,InUS3,-120.60998608390217,-122.98975642157961,-6.030499304195109,-6.1494878210789805,0.11898851688387158,0.11898851688387158
CeUSe3_1.cif,CeUSe3,-134.95278447321772,-137.08756059856623,-6.747639223660886,-6.854378029928311,0.10673880626742527,0.10673880626742527
CaCeS3_1.cif,CaCeS3,-115.98867223071106,-116.91412030304137,-5.799433611535553,-5.845706015152069,0.04627240361651541,0.04627240361651541
AlSnSe3_1.cif,AlSnSe3,-79.36425134919314,-81.6730767433894,-3.968212567459657,-4.08365383716947,0.11544126970981283,0.11544126970981283
UBiS3_1.cif,BiUS3,-95.28512383542818,-124.44240833482144,-4.764256191771409,-6.222120416741072,1.4578642249696632,1.4578642249696632
SrPrS3_1.cif,PrSrS3,-107.86490351811796,-108.0426896533419,-5.393245175905898,-5.402134482667095,0.008889306761196814,0.008889306761196814
SmZrS3_1.cif,SmZrS3,-137.50125015657085,-137.776066574516,-6.875062507828543,-6.8888033287258,0.013740820897257144,0.013740820897257144
EuHfS3_1.cif,EuHfS3,-166.68473714338188,-166.80926125428783,-8.334236857169094,-8.340463062714392,0.006226205545297958,0.006226205545297958
ZrCuSe3_1.cif,CuZrSe3,-99.16264435953532,-105.31479544710506,-4.958132217976766,-5.265739772355253,0.3076075543784862,0.3076075543784862
EuDyS3_1.cif,DyEuS3,-145.0684210915307,-145.70490989412514,-7.253421054576535,-7.285245494706257,0.0318244401297223,0.0318244401297223
PrScS3_1.cif,PrScS3,-133.61331249576466,-133.63548076743228,-6.680665624788233,-6.681774038371614,0.001108413583381207,0.001108413583381207
YbEuSe3_1.cif,EuYbSe3,-126.22589419754846,-135.02606672299072,-6.311294709877423,-6.751303336149536,0.440008626272113,0.440008626272113
GdScS3_1.cif,GdScS3,-170.69481097622165,-170.9019353759883,-8.534740548811083,-8.545096768799414,0.010356219988331361,0.010356219988331361
BaCeS3_1.cif,BaCeS3,-116.54291615224146,-119.65930181123524,-5.827145807612073,-5.982965090561762,0.15581928294968872,0.15581928294968872
EuYS3_1.cif,EuYS3,-153.19127614810273,-153.49842405519863,-7.659563807405137,-7.674921202759931,0.015357395354794079,0.015357395354794079
GdZrS3_1.cif,GdZrS3,-175.86518975246793,-175.95594368426782,-8.793259487623397,-8.79779718421339,0.0045376965899937005,0.0045376965899937005
