formula,A,B,X,nA,nB,nX,chi_A,chi_B,chi_X,chi_diff,rX,rA,rB,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,chi_AX_ratio,chi_BX_ratio,HOMO_A,HOMO_B,HOMO_X,LUMO_A,LUMO_B,LUMO_X,EA_A,EA_B,EA_X,IP_A,IP_B,IP_X,rS_A,rS_B,rS_X,rP_A,rP_B,rP_X,rD_A,rD_B,rD_X,t_sisso,t,tau,t_jess,bandgap,bandgap_sigma,norm_formula,HHI,SR
BaPrS3,Ba,Pr,S,2.0,4.0,-2.0,0.89,1.13,2.58,1.144,184.0,173.0,84.98,-1.69,-1.4500000000000002,-2.55,-2.31,2.035773123087785,0.4618478260869565,0.9402173913043478,0.6627450980392157,0.6277056277056278,-3.22934977,-2.320982129999998,-7.00838179000003,-2.0224315294266337,-2.320982209675374,0.8145175879610062,0.1815487042226235,0.1152585549847216,-2.847077729734469,5.363406047114364,5.700078313684422,11.769320157021456,219.67,201.97,74.72999999999999,266.14000000000004,271.35,84.92999999999999,131.01,117.98,273.21,0.8199326569653009,0.9385000995196546,3.8927236508913694,0.9908885837768164,2.2779433727264404,0.2979717850685119,BaPrS3,0.782737734342092,0.4448354991068753
BaCeS3,Ba,Ce,S,2.0,4.0,-2.0,0.89,1.12,2.58,1.146,184.0,173.0,86.8,-1.69,-1.46,-2.55,-2.32,1.9930875576036864,0.4717391304347826,0.9402173913043478,0.6627450980392157,0.6293103448275862,-3.22934977,-2.5303330600000007,-7.00838179000003,-2.0224315294266337,-2.5303331468620374,0.8145175879610062,0.1815487042226235,0.0869328039854952,-2.847077729734469,5.363406047114364,5.700526061695872,11.769320157021456,219.67,204.28,74.72999999999999,266.14000000000004,257.54,84.92999999999999,131.01,118.68,273.21,0.7987419699856619,0.9321926025435624,3.8995198407357528,0.9817192468581252,2.0671629905700684,0.5181032419204712,BaCeS3,0.782737734342092,0.4448354991068753
BaHfS3,Ba,Hf,S,2.0,4.0,-2.0,0.89,1.3,2.58,1.11,184.0,173.0,85.0,-1.69,-1.28,-2.55,-2.14,2.0352941176470587,0.4619565217391304,0.9402173913043478,0.6627450980392157,0.5981308411214954,-3.22934977,-2.693665829999998,-7.00838179000003,-2.0224315294266337,-2.693665922468976,0.8145175879610062,0.1815487042226235,0.1845735353332302,-2.847077729734469,5.363406047114364,6.50368793830198,11.769320157021456,219.67,153.65,74.72999999999999,266.14000000000004,213.77,84.92999999999999,131.01,89.50999999999999,273.21,0.8196973351616501,0.9384303225605828,3.892762703201988,1.039806098214645,2.080607891082764,0.5106853246688843,BaHfS3,0.4848783618667468,0.2538826841975744
BaZrS3,Ba,Zr,S,2.0,4.0,-2.0,0.89,1.33,2.58,1.104,184.0,173.0,85.0,-1.69,-1.25,-2.55,-2.11,2.0352941176470587,0.4619565217391304,0.9402173913043478,0.6627450980392157,0.5924170616113744,-3.22934977,-3.6022224400000007,-7.00838179000003,-2.0224315294266337,-3.602222563658176,0.8145175879610062,0.1815487042226235,-0.2714066713124998,-2.847077729734469,5.363406047114364,7.139550537079975,11.769320157021456,219.67,166.94,74.72999999999999,266.14000000000004,222.0,84.92999999999999,131.01,84.44,273.21,0.8196973351616501,0.9384303225605828,3.892762703201988,1.0498348822647157,1.8304277658462524,0.4625757336616516,BaZrS3,0.4848783618667468,0.2538826841975744
BaUS3,Ba,U,S,2.0,4.0,-2.0,0.89,1.38,2.58,1.094,184.0,173.0,99.0,-1.69,-1.2000000000000002,-2.55,-2.06,1.7474747474747474,0.5380434782608695,0.9402173913043478,0.6627450980392157,0.5825242718446603,-3.22934977,-1.99527278,-7.00838179000003,-2.0224315294266337,-1.9952728484943232,0.8145175879610062,0.1815487042226235,0.546861732757815,-2.847077729734469,5.363406047114364,5.590257855882314,11.769320157021456,219.67,187.98,74.72999999999999,266.14000000000004,241.76,84.92999999999999,131.01,131.23,273.21,0.6672287415173765,0.8920062076635926,4.120009032087481,1.0148465396601407,2.171821117401123,0.401340901851654,BaUS3,0.2952878507442109,0.1678522517392491
BaUSe3,Ba,U,Se,2.0,4.0,-2.0,0.89,1.38,2.55,1.076,198.0,173.0,99.0,-1.6599999999999997,-1.17,-2.55,-2.06,1.7474747474747474,0.5,0.8737373737373737,0.6509803921568627,0.5679611650485437,-3.22934977,-1.99527278,-6.510488250000024,-2.0224315294266337,-1.9952728484943232,-0.2111875472497096,0.1815487042226235,0.546861732757815,-2.730814399751447,5.363406047114364,5.590257855882314,10.84576444731508,219.67,187.98,79.97,266.14000000000004,241.76,95.78,131.01,131.23,23.97,0.7648831549696105,0.8832904937443867,4.261423173501623,1.0124015996005713,2.16088604927063,0.2047697454690933,BaUSe3,0.500880822848284,0.2811625161605635
YbEuS3,Eu,Yb,S,3.0,3.0,-2.0,1.2,1.1,2.58,1.088,184.0,164.0,102.0,-1.38,-1.48,-2.24,-2.34,1.607843137254902,0.5543478260869565,0.8913043478260869,0.6160714285714286,0.6324786324786326,-2.76744646,-3.076992080000003,-7.00838179000003,-2.76744655500174,-1.0944533775707237,0.8145175879610062,0.4802925635161391,0.4767999173605045,-2.847077729734469,6.002313428086848,6.531525574217345,11.769320157021456,31.35,173.83,74.72999999999999,267.74,248.9,84.92999999999999,114.02,112.51,273.21,0.8170333189687436,0.8603978311447499,2.9609952038198246,0.8380781480250442,1.7615373134613037,0.4667204320430755,EuYbS3,1.075820153965853,0.6093322094844918
YbEuSe3,Eu,Yb,Se,3.0,3.0,-2.0,1.2,1.1,2.55,1.07,198.0,164.0,102.0,-1.35,-1.4499999999999995,-2.24,-2.34,1.607843137254902,0.5151515151515151,0.8282828282828283,0.6026785714285713,0.6196581196581196,-2.76744646,-3.076992080000003,-6.510488250000024,-2.76744655500174,-1.0944533775707237,-0.2111875472497096,0.4802925635161391,0.4767999173605045,-2.730814399751447,6.002313428086848,6.531525574217345,10.84576444731508,31.35,173.83,79.97,267.74,248.9,95.78,114.02,112.51,23.97,0.8154467856872191,0.8532443319356154,3.0982501057806084,0.8298641762883648,1.3234429359436035,0.257468044757843,EuYbSe3,1.2814131260699255,0.7226424739058063
EuYS3,Eu,Y,S,3.0,3.0,-2.0,1.2,1.22,2.58,1.064,184.0,164.0,101.0,-1.38,-1.36,-2.24,-2.22,1.623762376237624,0.5489130434782609,0.8913043478260869,0.6160714285714286,0.6126126126126127,-2.76744646,-2.518776380000004,-7.00838179000003,-2.76744655500174,-2.5187764664653174,0.8145175879610062,0.4802925635161391,0.1564045493718278,-2.847077729734469,6.002313428086848,6.250735714575128,11.769320157021456,31.35,178.5,74.72999999999999,267.74,235.81,84.92999999999999,114.02,94.26,273.21,0.7963114573083404,0.8634167709031526,2.870937866473477,0.8682916292472748,1.85396146774292,0.3007177710533142,EuYS3,1.075820153965853,0.6093322094844918
EuDyS3,Eu,Dy,S,3.0,3.0,-2.0,1.2,1.22,2.58,1.064,184.0,164.0,103.0,-1.38,-1.36,-2.24,-2.22,1.5922330097087378,0.5597826086956522,0.8913043478260869,0.6160714285714286,0.6126126126126127,-2.76744646,-3.164901719999999,-7.00838179000003,-2.76744655500174,-1.1732693202763391,0.8145175879610062,0.4802925635161391,0.4711191951556382,-2.847077729734469,6.002313428086848,6.187951074411365,11.769320157021456,31.35,28.52,74.72999999999999,267.74,256.01,84.92999999999999,114.02,111.98,273.21,0.8376590591315,0.8573999292940714,3.05584347031666,0.862240816499907,1.8718514442443848,0.3193621933460235,DyEuS3,1.075820153965853,0.6093322094844918
