formula,A,B,X,nA,nB,nX,chi_A,chi_B,chi_X,chi_diff,rX,rA,rB,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,chi_AX_ratio,chi_BX_ratio,HOMO_A,HOMO_B,HOMO_X,LUMO_A,LUMO_B,LUMO_X,EA_A,EA_B,EA_X,IP_A,IP_B,IP_X,rS_A,rS_B,rS_X,rP_A,rP_B,rP_X,rD_A,rD_B,rD_X,t_sisso,t,tau,t_jess,bandgap,bandgap_sigma
BaSnS3,Ba,Sn,S,2.0,4.0,-2.0,0.89,1.96,2.58,0.9780000000000002,184.0,173.0,86.0,-1.69,-0.6200000000000001,-2.55,-1.48,2.011627906976744,0.4673913043478261,0.9402173913043478,0.6627450980392157,0.4189189189189189,-3.22934977,-3.6934392700000016,-7.00838179000003,-2.0224315294266337,-3.693439396789498,0.8145175879610062,0.1815487042226235,-1.0130803347838755,-2.847077729734469,5.363406047114364,6.875250052003975,11.769320157021456,219.67,106.59,74.72999999999999,266.14000000000004,135.54,84.92999999999999,131.01,46.940000000000005,273.21,0.8080012953984588,0.9349546546992472,3.895724359849137,1.4791325631459562,1.476304531097412,0.10925603657960892
BaPrS3,Ba,Pr,S,2.0,4.0,-2.0,0.89,1.13,2.58,1.144,184.0,173.0,84.98,-1.69,-1.4500000000000002,-2.55,-2.31,2.035773123087785,0.4618478260869565,0.9402173913043478,0.6627450980392157,0.6277056277056278,-3.22934977,-2.320982129999998,-7.00838179000003,-2.0224315294266337,-2.320982209675374,0.8145175879610062,0.1815487042226235,0.1152585549847216,-2.847077729734469,5.363406047114364,5.700078313684422,11.769320157021456,219.67,201.97,74.72999999999999,266.14000000000004,271.35,84.92999999999999,131.01,117.98,273.21,0.8199326569653009,0.9385000995196546,3.8927236508913694,0.9908885837768164,2.3498172760009766,0.058722712099552155
BaCeS3,Ba,Ce,S,2.0,4.0,-2.0,0.89,1.12,2.58,1.146,184.0,173.0,86.8,-1.69,-1.46,-2.55,-2.32,1.9930875576036864,0.4717391304347826,0.9402173913043478,0.6627450980392157,0.6293103448275862,-3.22934977,-2.5303330600000007,-7.00838179000003,-2.0224315294266337,-2.5303331468620374,0.8145175879610062,0.1815487042226235,0.0869328039854952,-2.847077729734469,5.363406047114364,5.700526061695872,11.769320157021456,219.67,204.28,74.72999999999999,266.14000000000004,257.54,84.92999999999999,131.01,118.68,273.21,0.7987419699856619,0.9321926025435624,3.8995198407357528,0.9817192468581252,2.053790807723999,0.053861234337091446
BaHfS3,Ba,Hf,S,2.0,4.0,-2.0,0.89,1.3,2.58,1.11,184.0,173.0,85.0,-1.69,-1.28,-2.55,-2.14,2.0352941176470587,0.4619565217391304,0.9402173913043478,0.6627450980392157,0.5981308411214954,-3.22934977,-2.693665829999998,-7.00838179000003,-2.0224315294266337,-2.693665922468976,0.8145175879610062,0.1815487042226235,0.1845735353332302,-2.847077729734469,5.363406047114364,6.50368793830198,11.769320157021456,219.67,153.65,74.72999999999999,266.14000000000004,213.77,84.92999999999999,131.01,89.50999999999999,273.21,0.8196973351616501,0.9384303225605828,3.892762703201988,1.039806098214645,1.7994173765182495,0.2109813094139099
BaZrS3,Ba,Zr,S,2.0,4.0,-2.0,0.89,1.33,2.58,1.104,184.0,173.0,85.0,-1.69,-1.25,-2.55,-2.11,2.0352941176470587,0.4619565217391304,0.9402173913043478,0.6627450980392157,0.5924170616113744,-3.22934977,-3.6022224400000007,-7.00838179000003,-2.0224315294266337,-3.602222563658176,0.8145175879610062,0.1815487042226235,-0.2714066713124998,-2.847077729734469,5.363406047114364,7.139550537079975,11.769320157021456,219.67,166.94,74.72999999999999,266.14000000000004,222.0,84.92999999999999,131.01,84.44,273.21,0.8196973351616501,0.9384303225605828,3.892762703201988,1.0498348822647157,1.8125468492507935,0.030929123982787132
BaUS3,Ba,U,S,2.0,4.0,-2.0,0.89,1.38,2.58,1.094,184.0,173.0,99.0,-1.69,-1.2000000000000002,-2.55,-2.06,1.7474747474747474,0.5380434782608695,0.9402173913043478,0.6627450980392157,0.5825242718446603,-3.22934977,-1.99527278,-7.00838179000003,-2.0224315294266337,-1.9952728484943232,0.8145175879610062,0.1815487042226235,0.546861732757815,-2.847077729734469,5.363406047114364,5.590257855882314,11.769320157021456,219.67,187.98,74.72999999999999,266.14000000000004,241.76,84.92999999999999,131.01,131.23,273.21,0.6672287415173765,0.8920062076635926,4.120009032087481,1.0148465396601407,2.4481558799743652,0.04944099113345146
BaUSe3,Ba,U,Se,2.0,4.0,-2.0,0.89,1.38,2.55,1.076,198.0,173.0,99.0,-1.6599999999999997,-1.17,-2.55,-2.06,1.7474747474747474,0.5,0.8737373737373737,0.6509803921568627,0.5679611650485437,-3.22934977,-1.99527278,-6.510488250000024,-2.0224315294266337,-1.9952728484943232,-0.2111875472497096,0.1815487042226235,0.546861732757815,-2.730814399751447,5.363406047114364,5.590257855882314,10.84576444731508,219.67,187.98,79.97,266.14000000000004,241.76,95.78,131.01,131.23,23.97,0.7648831549696105,0.8832904937443867,4.261423173501623,1.0124015996005713,2.4890973567962646,0.06587689369916916
EuSnS3,Eu,Sn,S,2.0,4.0,-2.0,1.2,1.96,2.58,0.916,184.0,164.0,86.0,-1.38,-0.6200000000000001,-2.24,-1.48,1.9069767441860463,0.4673913043478261,0.8913043478260869,0.6160714285714286,0.4189189189189189,-2.76744646,-3.6934392700000016,-7.00838179000003,-2.76744655500174,-3.693439396789498,0.8145175879610062,0.4802925635161391,-1.0130803347838755,-2.847077729734469,6.002313428086848,6.875250052003975,11.769320157021456,31.35,106.59,74.72999999999999,267.74,135.54,84.92999999999999,114.02,46.940000000000005,273.21,0.8287504129054487,0.911384369286661,4.04788570067023,1.3403020131272154,1.3308770656585693,0.0992874950170517
PrEuS3,Eu,Pr,S,3.0,3.0,-2.0,1.2,1.13,2.58,1.082,184.0,164.0,99.3,-1.38,-1.4500000000000002,-2.24,-2.31,1.651560926485398,0.5396739130434782,0.8913043478260869,0.6160714285714286,0.6277056277056278,-2.76744646,-2.320982129999998,-7.00838179000003,-2.76744655500174,-2.320982209675374,0.8145175879610062,0.4802925635161391,0.1152585549847216,-2.847077729734469,6.002313428086848,5.700078313684422,11.769320157021456,31.35,201.97,74.72999999999999,267.74,271.35,84.92999999999999,114.02,117.98,273.21,0.7608582506486429,0.8685978810709442,2.728348134520626,0.8524988686200602,1.7189419269561768,0.3104037046432495
PrEuSe3,Eu,Pr,Se,3.0,3.0,-2.0,1.2,1.13,2.55,1.0639999999999998,198.0,164.0,99.3,-1.35,-1.42,-2.24,-2.31,1.651560926485398,0.5015151515151515,0.8282828282828283,0.6026785714285713,0.6147186147186147,-2.76744646,-2.320982129999998,-6.510488250000024,-2.76744655500174,-2.320982209675374,-0.2111875472497096,0.4802925635161391,0.1152585549847216,-2.730814399751447,6.002313428086848,5.700078313684422,10.84576444731508,31.35,201.97,79.97,267.74,271.35,95.78,114.02,117.98,23.97,0.7617582266971877,0.8609932713780175,2.869335042879136,0.8441296267581575,1.4073551893234253,0.1098780632019043
