,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,material,exp_label,rX,nA,nB,nX,chiA,chiB,chiX,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rA,rB,chi_AX_ratio,chi_BX_ratio,chi_diff,log_rA_rB_ratio,HOMO_A,HOMO_B,HOMO_X,LUMO_A,LUMO_B,LUMO_X,EA_A,EA_B,EA_X,IP_A,IP_B,IP_X,rS_A,rS_B,rS_X,rP_A,rP_B,rP_X,rD_A,rD_B,rD_X,rA_rB_ratio,t_sisso,t,tau,t_jess,p_t_sisso
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BaVS3,0.0,184.0,2.0,4.0,-2.0,0.89,1.63,2.58,0.3152173913043478,0.875,-1.69,-0.9500000000000002,-2.55,-1.81,173.0,66.0,0.6627450980392157,0.5248618784530388,1.0440000000000005,1.0209613544380438,-3.22934977,-4.348428499999998,-7.00838179000003,-2.0224315294266337,-4.348428649274164,0.8145175879610062,0.1815487042226235,-0.78074486180114,-2.847077729734469,5.363406047114364,7.169663669121636,11.769320157021456,219.67,148.18,74.72999999999999,266.14000000000004,205.66,84.92999999999999,131.01,47.59,273.21,2.621212121212121,1.2260394794380436,1.0097510270751868,4.228127600467747,1.2750164774903152,0.0010463350601012653
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,RbPbI3,0.0,220.00000000000003,1.0,2.0,-1.0,0.82,2.33,2.66,0.5409090909090909,0.7818181818181817,-1.8400000000000003,-0.33,-2.62,-1.11,178.0,119.0,0.7022900763358779,0.2972972972972972,0.966,0.3683709837019236,-2.23129531,-3.496077730000001,-7.083940510000032,-0.6626547127478113,-3.4960778500144083,0.2908709899851069,-0.5654554674099543,-0.8830451593257576,-3.4344351648747526,4.153592876586776,6.576348032711487,11.131355946143175,231.42,103.96,90.24,324.0,140.49,107.49,240.1,56.76,41.190000000000005,1.495798319327731,1.0173870929321862,0.8301746543548011,4.563531396940389,1.961078781001904,0.036617329257039984
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,SnVS3,0.0,184.0,2.0,4.0,-2.0,1.96,1.63,2.58,0.3152173913043478,0.6249999999999999,-0.6200000000000001,-0.9500000000000002,-1.48,-1.81,160.7,66.0,0.4189189189189189,0.5248618784530388,0.8300000000000001,0.6844891178168307,-3.6934392700000016,-4.348428499999998,-7.00838179000003,-3.693439396789498,-4.348428649274164,0.8145175879610062,-1.0130803347838755,-0.78074486180114,-2.847077729734469,6.875250052003975,7.169663669121636,11.769320157021456,106.59,148.18,74.72999999999999,135.54,205.66,84.92999999999999,46.940000000000005,47.59,273.21,2.4348484848484846,1.0653484928168309,0.9749612858062098,4.260158394507212,0.7781661130382136,0.016330821811502458
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NaNiCl3,0.0,181.0,1.0,2.0,-1.0,0.93,1.91,3.16,0.3812154696132596,0.7679558011049723,-2.23,-1.2500000000000002,-2.51,-1.53,139.0,69.0,0.8884462151394423,0.8169934640522877,1.3280000000000003,0.7003674285334324,-2.7445312200000007,-4.439555410000002,-8.594666479999974,-2.7445313142150973,-4.4395555624023935,0.0197235606770763,-0.7570217149871556,-1.3513871613897686,-3.935229981089612,5.147636303709317,7.898771670150475,13.876021229339663,175.88,125.17,67.85000000000001,260.21000000000004,156.73999999999998,75.67,845.6800000000001,33.809999999999995,224.95,2.0144927536231885,1.015416601844712,0.9050989598433048,4.499525413418274,0.9842572561241024,0.037838086325364104
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,CsHgBr3,1.0,196.0,1.0,2.0,-1.0,0.79,2.0,2.96,0.5204081632653061,0.9591836734693876,-2.17,-0.96,-2.65,-1.44,213.5,143.5,0.8188679245283019,0.6666666666666666,1.218,0.6114691495456782,-2.0859241200000014,-6.807995810000004,-7.858438990000018,-0.4792429764515966,-0.952083492683411,0.0551102718918419,-0.5452966317296846,1.3885838835805904,-3.6781509272527466,3.8635765556284616,10.679763451594113,12.554312316976,253.57,116.75,75.14,319.04,173.51,88.34,202.25,61.58,22.81,1.4878048780487805,0.6881718839505608,0.8529041422492483,4.110626240807259,1.0476237671778503,0.9161431240515365
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,CsCdCl3,1.0,181.0,1.0,2.0,-1.0,0.79,1.69,3.16,0.5248618784530387,1.0386740331491713,-2.37,-1.4700000000000002,-2.65,-1.75,188.0,95.0,0.8943396226415095,0.8400000000000001,1.4000000000000004,0.6825650712294085,-2.0859241200000014,-5.657022910000005,-8.594666479999974,-0.4792429764515966,-1.1571185497219154,0.0197235606770763,-0.5452966317296846,0.9482623915387752,-3.935229981089612,3.8635765556284616,9.27193000127873,13.876021229339663,253.57,123.55,67.85000000000001,319.04,179.66,75.67,202.25,51.92,224.95,1.9789473684210528,0.6006721184006087,0.9453734040482888,3.804543317157286,1.0065296350379354,0.9797102599189641
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,CaLiBr3,0.0,196.0,2.0,1.0,-1.0,1.0,0.98,2.96,0.3877551020408163,0.6836734693877552,-1.96,-1.98,-2.44,-2.46,156.0,76.0,0.8032786885245902,0.8048780487804879,1.38,0.5671064596645805,-3.766160950000002,-2.8741409099999977,-7.858438990000018,-1.9458476867976409,-1.0207578250408813,0.0551102718918419,0.1499954621481116,-0.7561139179561087,-3.6781509272527466,6.309260154585895,5.297381732850112,12.554312316976,179.84,165.76,75.14,231.02,201.34,88.34,67.61,674.19,22.81,2.0526315789473686,0.9312245142166804,0.9150816689592236,4.287657921560637,0.9132633248579632,0.1444384084841598
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,BaUS3,1.0,184.0,2.0,4.0,-2.0,0.89,1.38,2.58,0.483695652173913,0.875,-1.69,-1.2000000000000002,-2.55,-2.06,173.0,99.0,0.6627450980392157,0.5825242718446603,1.094,0.5927679952523233,-3.22934977,-1.99527278,-7.00838179000003,-2.0224315294266337,-1.9952728484943232,0.8145175879610062,0.1815487042226235,0.546861732757815,-2.847077729734469,5.363406047114364,5.590257855882314,11.769320157021456,219.67,187.98,74.72999999999999,266.14000000000004,241.76,84.92999999999999,131.01,131.23,273.21,1.7474747474747474,0.7978461202523233,0.8920062076635926,4.120009032087481,1.0148465396601407,0.6273838826364092
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,AgCoF3,1.0,133.0,1.0,2.0,-1.0,1.93,1.88,3.98,0.5601503759398496,0.962406015037594,-2.05,-2.1,-1.51,-1.56,128.0,74.5,1.357615894039735,1.3461538461538465,1.626,0.5412311385341034,-4.402160580000001,-4.433222810000001,-11.111416699999976,-0.2462930884548233,0.1435549649279978,1.136681619020348,-1.4755869046631138,-1.3590473276566433,-4.336301480858267,7.75596378025508,7.672566418386976,19.391595983680425,132.41000000000005,128.78,40.44,190.44,161.4,37.4,54.86,35.82,143.19,1.7181208053691277,0.650070792022969,0.8894233001472234,3.959702669277516,0.8969964408296498,0.9542861451422281
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,KBaF3,0.0,133.0,1.0,2.0,-1.0,0.82,0.89,3.98,1.0150375939849623,1.2330827067669172,-3.16,-3.09,-2.62,-2.55,164.0,135.0,1.2061068702290076,1.211764705882353,2.046,0.1945916493857687,-2.318921259999999,-3.22934977,-11.111416699999976,-0.7664318763103054,-2.0224315294266337,1.136681619020348,-0.6361622968393374,0.1815487042226235,-4.336301480858267,4.31357484707873,5.363406047114364,19.391595983680425,220.49,219.67,40.44,302.81,266.14000000000004,37.4,207.8,131.01,143.19,1.2148148148148148,1.1936726684839245,0.7836240411423201,6.228078025907762,0.7799652317899177,0.0018212834476851174
